run_id,time_step,period,N,T,initial_corruption_rate_parameter,beta,gamma,alpha,memory_endowment,collaboration_cost,discount_factor,num_corrupted,num_honest,corruption_rate,collaboration_rate,belief_cutoff
1,78,79,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.029362134559810776
1,79,80,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.029727854786130138
1,80,81,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.030145045652442894
1,81,82,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.03062254188429979
1,82,83,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.031171152688018254
1,83,84,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.03180424300659723
1,84,85,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.03253853414042688
1,85,86,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.033395226928261114
1,86,87,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.034401610148887596
1,87,88,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.03559341780589705
1,88,89,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.03701837644750494
1,89,90,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.03874170792276196
1,90,91,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.04085497246018045
1,91,92,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.04349088398079171
1,92,93,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.04684940004889847
1,93,94,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.051246550477247646
1,94,95,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.057213054146045245
1,95,96,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.06571407686049353
1,96,97,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.07870843429072744
1,97,98,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.1008710116265301
1,98,99,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.14679933160380726
1,99,100,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.73,0.29710939554921967
2,0,1,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,384,0.04,0.0,0.02643592590823947
2,1,2,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,17,383,0.0425,0.375,0.026436004885828195
2,2,3,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,382,0.045,0.42,0.026436092639258005
2,3,4,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,382,0.045,0.51,0.026436190143752203
2,4,5,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,382,0.045,0.54,0.026436298482922657
2,5,6,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,382,0.045,0.585,0.026436418860820182
2,6,7,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,382,0.045,0.6,0.026436552615325407
2,7,8,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,382,0.045,0.62,0.026436701233029745
2,8,9,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,382,0.045,0.625,0.026436866365772107
2,9,10,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,382,0.045,0.635,0.026437049849016486
2,10,11,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,382,0.045,0.635,0.026437253722275154
2,11,12,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,382,0.045,0.645,0.02643748025180602
2,12,13,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,382,0.045,0.65,0.026437731955837852
2,13,14,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,381,0.0475,0.66,0.026438011632605587
2,14,15,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,381,0.0475,0.665,0.026438322391509787
2,15,16,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,381,0.0475,0.67,0.02643866768774938
2,16,17,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,381,0.0475,0.67,0.026439051360816323
2,17,18,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,381,0.0475,0.67,0.02643947767728451
2,18,19,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,381,0.0475,0.67,0.02643995137837397
2,19,20,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,381,0.0475,0.68,0.026440477732826075
2,20,21,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,381,0.0475,0.685,0.026441062595685745
