run_id,N,T,initial_corruption_rate_parameter,beta,gamma,alpha,memory_endowment,collaboration_cost,discount_factor,initial_num_corrupted,initial_corruption_rate_actual,final_num_corrupted,final_num_honest,final_corruption_rate,spread_amount,spread_rate_change,full_corruption,no_spread,belief_cutoff
123,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,36,364,0.09,17,0.042499999999999996,False,False,0.034102314032345635
124,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,23,0.0575,35,365,0.0875,12,0.029999999999999992,False,False,0.034102314032345635
125,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,0.05,31,369,0.0775,11,0.027499999999999997,False,False,0.034102314032345635
126,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,15,0.0375,26,374,0.065,11,0.027500000000000004,False,False,0.034102314032345635
127,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,23,0.0575,39,361,0.0975,16,0.04,False,False,0.034102314032345635
128,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,0.0525,33,367,0.0825,12,0.030000000000000006,False,False,0.034102314032345635
129,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,23,377,0.0575,7,0.0175,False,False,0.034102314032345635
130,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,0.045,19,381,0.0475,1,0.0025000000000000022,False,False,0.034102314032345635
131,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,13,0.0325,16,384,0.04,3,0.0075,False,False,0.034102314032345635
132,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,13,0.0325,18,382,0.045,5,0.012499999999999997,False,False,0.034102314032345635
133,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,9,0.0225,13,387,0.0325,4,0.010000000000000002,False,False,0.034102314032345635
134,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,29,371,0.0725,10,0.024999999999999994,False,False,0.034102314032345635
135,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,23,377,0.0575,7,0.0175,False,False,0.034102314032345635
136,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,15,0.0375,16,384,0.04,1,0.0025000000000000022,False,False,0.034102314032345635
137,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,0.0625,30,370,0.075,5,0.012499999999999997,False,False,0.034102314032345635
138,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,0.055,26,374,0.065,4,0.010000000000000002,False,False,0.034102314032345635
139,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,24,376,0.06,8,0.019999999999999997,False,False,0.034102314032345635
140,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,24,0.06,37,363,0.0925,13,0.0325,False,False,0.034102314032345635
141,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,0.0525,32,368,0.08,11,0.027500000000000004,False,False,0.034102314032345635
142,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,13,0.0325,16,384,0.04,3,0.0075,False,False,0.034102314032345635
143,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,0.0525,22,378,0.055,1,0.0025000000000000022,False,False,0.034102314032345635
144,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,17,0.0425,22,378,0.055,5,0.012499999999999997,False,False,0.034102314032345635
145,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,27,0.0675,45,355,0.1125,18,0.045,False,False,0.034102314032345635
146,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,28,0.07,33,367,0.0825,5,0.012499999999999997,False,False,0.034102314032345635
147,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,30,370,0.075,11,0.027499999999999997,False,False,0.034102314032345635
148,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,23,377,0.0575,7,0.0175,False,False,0.034102314032345635
149,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,0.0525,29,371,0.0725,8,0.019999999999999997,False,False,0.034102314032345635
150,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,0.055,31,369,0.0775,9,0.0225,False,False,0.034102314032345635
151,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,27,0.0675,38,362,0.095,11,0.027499999999999997,False,False,0.034102314032345635
152,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,29,0.0725,39,361,0.0975,10,0.02500000000000001,False,False,0.034102314032345635
153,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,0.05,30,370,0.075,10,0.024999999999999994,False,False,0.034102314032345635
154,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,19,381,0.0475,3,0.0075,False,False,0.034102314032345635
155,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,0.055,26,374,0.065,4,0.010000000000000002,False,False,0.034102314032345635
156,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,28,0.07,35,365,0.0875,7,0.017499999999999988,False,False,0.034102314032345635
157,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,24,0.06,38,362,0.095,14,0.035,False,False,0.034102314032345635
158,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,27,373,0.0675,11,0.027500000000000004,False,False,0.034102314032345635
159,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,15,0.0375,24,376,0.06,9,0.0225,False,False,0.034102314032345635
160,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,0.055,31,369,0.0775,9,0.0225,False,False,0.034102314032345635
161,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,0.0525,28,372,0.07,7,0.01750000000000001,False,False,0.034102314032345635
162,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,0.0525,29,371,0.0725,8,0.019999999999999997,False,False,0.034102314032345635
163,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,23,0.0575,30,370,0.075,7,0.017499999999999995,False,False,0.034102314032345635
164,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,24,0.06,36,364,0.09,12,0.03,False,False,0.034102314032345635
165,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,25,375,0.0625,6,0.015,False,False,0.034102314032345635
166,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,31,369,0.0775,12,0.03,False,False,0.034102314032345635
167,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,21,379,0.0525,5,0.012499999999999997,False,False,0.034102314032345635
168,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,0.055,29,371,0.0725,7,0.017499999999999995,False,False,0.034102314032345635
169,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,0.045,28,372,0.07,10,0.02500000000000001,False,False,0.034102314032345635
170,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,28,372,0.07,12,0.030000000000000006,False,False,0.034102314032345635
